time,open,high,low,close
2023.02.23 15:00,1828.13,1828.38,1820.22,1823.55
2023.02.23 16:00,1823.44,1823.46,1818.45,1819.96
2023.02.23 17:00,1819.94,1822.34,1818.95,1821.23
2023.02.23 18:00,1821.23,1823.73,1819.14,1822.70
2023.02.23 19:00,1822.70,1824.13,1822.56,1822.95
2023.02.23 20:00,1822.95,1824.09,1822.65,1823.54
2023.02.23 21:00,1823.20,1823.39,1822.07,1822.08
2023.02.23 23:00,1821.40,1823.49,1821.40,1823.19
2023.02.24 00:00,1823.19,1826.59,1822.96,1826.31
2023.02.24 01:00,1826.39,1827.08,1824.11,1826.04
2023.02.24 02:00,1826.02,1827.79,1824.36,1824.89
2023.02.24 03:00,1824.86,1827.58,1824.83,1825.70
2023.02.24 04:00,1825.73,1826.42,1824.87,1825.53
2023.02.24 05:00,1825.55,1825.71,1824.06,1824.60
2023.02.24 06:00,1824.61,1825.82,1823.30,1824.04
2023.02.24 07:00,1824.06,1826.28,1821.72,1822.04
2023.02.24 08:00,1822.06,1825.58,1819.75,1822.87
2023.02.24 09:00,1822.89,1825.44,1821.55,1821.59
2023.02.24 10:00,1821.59,1824.15,1821.03,1822.27
2023.02.24 11:00,1822.26,1823.06,1817.37,1819.15
2023.02.24 12:00,1819.15,1819.17,1815.26,1817.11
2023.02.24 13:00,1817.06,1818.36,1811.59,1815.57
2023.02.24 14:00,1815.59,1815.89,1808.93,1812.71
2023.02.24 15:00,1812.72,1815.26,1809.61,1810.66
2023.02.24 16:00,1810.69,1814.23,1809.53,1812.27
2023.02.24 17:00,1812.31,1812.67,1809.36,1809.89
2023.02.24 18:00,1809.91,1811.22,1808.93,1809.89
2023.02.24 19:00,1810.01,1811.42,1809.68,1810.97
2023.02.24 20:00,1810.96,1813.43,1810.53,1810.89
2023.02.24 21:00,1811.16,1811.78,1810.58,1810.85
2023.02.26 23:00,1810.20,1813.03,1810.18,1811.73
2023.02.27 00:00,1811.73,1813.86,1810.30,1813.54
2023.02.27 01:00,1813.44,1814.13,1812.15,1813.89
2023.02.27 02:00,1813.89,1813.96,1811.49,1811.76
2023.02.27 03:00,1811.76,1812.13,1806.64,1807.93
2023.02.27 04:00,1807.90,1809.95,1807.05,1809.28
2023.02.27 05:00,1809.23,1809.67,1807.40,1808.74
2023.02.27 06:00,1808.64,1811.69,1807.72,1807.99
2023.02.27 07:00,1807.99,1812.34,1807.13,1810.69
2023.02.27 08:00,1810.70,1813.74,1810.09,1810.09
2023.02.27 09:00,1810.08,1811.07,1808.37,1808.44
2023.02.27 10:00,1808.40,1811.41,1808.28,1810.58
2023.02.27 11:00,1810.58,1812.53,1810.23,1811.46
2023.02.27 12:00,1811.48,1813.36,1810.12,1811.41
2023.02.27 13:00,1811.41,1816.32,1810.12,1815.20
2023.02.27 14:00,1815.19,1818.81,1814.40,1817.93
2023.02.27 15:00,1817.93,1820.11,1813.84,1815.43
2023.02.27 16:00,1815.43,1817.19,1812.60,1816.96
2023.02.27 17:00,1817.06,1818.99,1816.42,1818.68
2023.02.27 18:00,1818.68,1820.15,1816.66,1818.83
2023.02.27 19:00,1818.92,1820.09,1817.01,1817.39
2023.02.27 20:00,1817.39,1818.04,1815.99,1817.16
2023.02.27 21:00,1817.46,1817.47,1816.40,1817.12
2023.02.27 23:00,1816.54,1817.73,1816.54,1817.17
2023.02.28 00:00,1817.17,1818.15,1816.05,1816.51
2023.02.28 01:00,1816.59,1818.11,1815.31,1817.25
2023.02.28 02:00,1817.26,1819.40,1816.50,1817.80
2023.02.28 03:00,1817.80,1817.89,1814.70,1814.90
2023.02.28 04:00,1814.89,1815.52,1813.79,1814.46
2023.02.28 05:00,1814.40,1814.59,1812.18,1813.39
2023.02.28 06:00,1813.38,1816.95,1812.66,1815.72
2023.02.28 07:00,1815.70,1815.77,1810.14,1810.42
2023.02.28 08:00,1810.50,1812.66,1804.63,1810.65
2023.02.28 09:00,1810.65,1813.05,1809.51,1810.32
2023.02.28 10:00,1810.33,1811.76,1808.04,1808.97
2023.02.28 11:00,1809.00,1810.83,1807.81,1809.06
2023.02.28 12:00,1809.04,1809.82,1807.84,1809.25
2023.02.28 13:00,1809.27,1814.22,1807.26,1813.99
2023.02.28 14:00,1813.99,1819.01,1813.05,1818.77
2023.02.28 15:00,1818.79,1826.77,1818.79,1824.18
2023.02.28 16:00,1824.06,1828.33,1824.04,1826.64
2023.02.28 17:00,1826.66,1831.13,1826.38,1829.32
2023.02.28 18:00,1829.32,1830.83,1828.04,1828.17
2023.02.28 19:00,1828.11,1830.36,1827.99,1828.97
2023.02.28 20:00,1828.99,1829.32,1826.25,1826.46
2023.02.28 21:00,1826.88,1827.56,1826.34,1826.67
2023.02.28 23:00,1826.68,1827.27,1825.39,1825.52
2023.03.01 00:00,1825.53,1825.63,1823.02,1823.40
2023.03.01 01:00,1823.41,1829.49,1823.21,1829.08
2023.03.01 02:00,1829.09,1829.30,1827.46,1827.72
2023.03.01 03:00,1827.66,1831.20,1827.49,1831.06
2023.03.01 04:00,1830.96,1831.65,1829.91,1830.07
2023.03.01 05:00,1830.07,1832.66,1829.97,1831.12
2023.03.01 06:00,1831.14,1836.79,1831.03,1834.72
2023.03.01 07:00,1834.72,1835.99,1831.30,1835.51
2023.03.01 08:00,1835.48,1835.91,1832.46,1835.81
2023.03.01 09:00,1835.85,1838.02,1830.43,1831.71
2023.03.01 10:00,1831.69,1834.97,1830.79,1834.83
2023.03.01 11:00,1834.84,1838.51,1834.42,1835.27
2023.03.01 12:00,1835.26,1840.62,1834.50,1840.62
2023.03.01 13:00,1840.61,1841.65,1833.86,1837.23
2023.03.01 14:00,1837.21,1844.47,1836.82,1842.28
2023.03.01 15:00,1842.21,1844.51,1833.45,1842.04
2023.03.01 16:00,1842.06,1842.20,1837.01,1841.44
2023.03.01 17:00,1841.46,1841.67,1836.62,1837.19
2023.03.01 18:00,1837.24,1839.12,1836.49,1838.48
2023.03.01 19:00,1838.48,1838.94,1837.40,1838.35
2023.03.01 20:00,1838.36,1838.99,1837.10,1837.19
2023.03.01 21:00,1837.46,1837.68,1836.27,1836.28
2023.03.01 23:00,1836.53,1838.41,1836.50,1836.55
2023.03.02 00:00,1836.55,1838.26,1835.50,1835.66
2023.03.02 01:00,1835.67,1835.98,1831.01,1833.10
