idx,in_backtest,dir,timeA,priceA,timeB,priceB,t_confirm,t_Cok,t_fvg_touch,t_hunt,t_dead,dead_reason,n_fvg
1,no,BEAR,2025.12.28 20:00,4549.76,2025.12.29 12:00,4302.96,2026.01.01 20:00,2026.01.01 20:00,,2026.01.01 20:00,2026.01.12 04:00,به A رسید,1
2,no,BULL,2025.12.31 20:00,4304.28,2026.01.02 12:00,4402.18,2026.01.02 20:00,,,,2026.01.02 20:00,اصلاح>60%,3
3,no,BULL,2026.01.02 20:00,4316.97,2026.01.06 20:00,4500.18,2026.01.07 08:00,2026.01.07 12:00,,2026.01.09 12:00,2026.01.12 16:00,CD>AB,2
4,no,BULL,2026.01.08 12:00,4407.35,2026.01.12 16:00,4629.82,2026.01.13 00:00,2026.01.13 08:00,2026.01.13 08:00,2026.01.13 12:00,2026.01.21 04:00,CD>AB,4
5,no,BULL,2026.01.16 16:00,4567.76,2026.01.21 04:00,4888.26,2026.01.21 16:00,2026.01.21 20:00,2026.01.21 20:00,2026.01.22 16:00,,alive,6
6,no,BULL,2026.01.22 00:00,4772.11,2026.01.23 00:00,4967.10,2026.01.23 08:00,2026.01.23 12:00,2026.01.23 12:00,2026.01.23 16:00,,alive,4
7,no,BULL,2026.01.23 12:00,4917.88,2026.01.26 04:00,5110.88,2026.01.26 12:00,2026.01.26 20:00,2026.01.26 20:00,2026.01.27 20:00,2026.01.28 04:00,CD>AB,4
8,no,BULL,2026.01.27 20:00,5097.67,2026.01.28 20:00,5600.36,2026.01.29 08:00,,,,2026.01.29 16:00,اصلاح>60%,2
9,no,BULL,2026.02.02 16:00,4596.23,2026.02.04 08:00,5091.69,2026.02.04 16:00,2026.02.04 20:00,2026.02.04 20:00,,,alive,4
10,no,BULL,2026.02.06 00:00,4654.85,2026.02.08 20:00,5046.77,2026.02.09 08:00,,,,2026.02.09 12:00,B زودهنگام,1
11,no,BULL,2026.02.19 12:00,4963.52,2026.02.23 00:00,5176.26,2026.02.23 08:00,,,,2026.02.23 12:00,B زودهنگام,3
12,no,BULL,2026.02.26 12:00,5131.03,2026.03.02 04:00,5418.80,2026.03.02 16:00,2026.03.02 20:00,2026.03.03 04:00,,2026.03.03 12:00,اصلاح>60%,4
13,no,BEAR,2026.03.20 04:00,4727.34,2026.03.23 04:00,4099.17,2026.03.23 16:00,2026.03.23 20:00,2026.03.23 20:00,,,alive,4
14,no,BEAR,2026.03.26 04:00,4524.10,2026.03.26 20:00,4350.91,2026.03.27 04:00,2026.03.27 08:00,,,2026.03.27 16:00,اصلاح>60%,0
15,no,BULL,2026.04.12 20:00,4644.32,2026.04.15 00:00,4871.25,2026.04.15 04:00,2026.04.15 08:00,2026.04.15 08:00,2026.04.17 12:00,2026.04.28 08:00,به A رسید,4
16,no,BEAR,2026.04.17 16:00,4873.15,2026.04.19 20:00,4736.91,2026.04.20 08:00,2026.04.20 12:00,2026.04.20 12:00,,,alive,1
17,no,BEAR,2026.04.22 08:00,4762.24,2026.04.23 08:00,4684.06,2026.04.23 12:00,2026.04.23 16:00,,2026.04.23 16:00,2026.04.28 08:00,CD>AB,1
18,no,BEAR,2026.04.27 04:00,4729.79,2026.04.28 00:00,4666.60,2026.04.28 00:00,2026.04.28 04:00,,2026.04.28 04:00,2026.04.28 12:00,CD>AB,1
19,no,BEAR,2026.04.28 00:00,4701.02,2026.04.28 12:00,4554.75,2026.04.28 20:00,2026.04.29 00:00,2026.04.29 00:00,2026.04.29 08:00,2026.05.06 12:00,به A رسید,2
20,no,BULL,2026.04.29 20:00,4541.11,2026.04.30 08:00,4646.51,2026.04.30 20:00,2026.05.01 00:00,2026.05.01 04:00,,2026.05.01 08:00,اصلاح>60%,1
21,no,BEAR,2026.05.01 16:00,4649.79,2026.05.04 16:00,4500.65,2026.05.05 00:00,2026.05.05 04:00,2026.05.05 12:00,,,alive,1
22,no,BULL,2026.05.04 20:00,4511.58,2026.05.06 08:00,4722.50,2026.05.06 20:00,,,,2026.05.07 04:00,B زودهنگام,4
23,no,BEAR,2026.05.14 12:00,4710.05,2026.05.15 12:00,4511.80,2026.05.15 20:00,2026.05.17 20:00,,2026.05.18 00:00,2026.06.05 16:00,CD>AB,3
24,no,BEAR,2026.05.19 00:00,4588.93,2026.05.20 00:00,4453.68,2026.05.20 12:00,2026.05.20 16:00,2026.05.20 16:00,,2026.05.20 20:00,اصلاح>60%,1
25,no,BEAR,2026.03.17 04:00,5044.34,2026.03.19 12:00,4500.99,2026.05.22 00:00,2026.05.22 00:00,,2026.05.22 00:00,,alive,4
26,no,BEAR,2026.05.29 16:00,4573.34,2026.06.01 12:00,4447.12,2026.06.02 00:00,2026.06.02 04:00,,,2026.06.02 08:00,اصلاح>60%,0
27,no,BEAR,2026.06.02 08:00,4539.09,2026.06.03 20:00,4424.04,2026.06.04 00:00,2026.06.04 04:00,2026.06.04 08:00,,2026.06.04 12:00,اصلاح>60%,1
28,no,BEAR,2026.06.04 12:00,4515.40,2026.06.08 00:00,4300.23,2026.06.08 00:00,2026.06.08 04:00,,2026.06.08 04:00,2026.06.10 20:00,CD>AB,3
29,no,BEAR,2026.06.09 12:00,4363.45,2026.06.10 20:00,4023.94,2026.06.11 08:00,2026.06.11 12:00,2026.06.11 12:00,,,alive,4
30,no,BEAR,2026.06.18 04:00,4324.60,2026.06.19 04:00,4121.80,2026.06.19 12:00,2026.06.22 04:00,2026.06.22 04:00,2026.06.23 04:00,2026.08.07 12:00,به A رسید,5
31,no,BEAR,2026.06.23 16:00,4143.79,2026.06.24 16:00,3959.20,2026.06.25 00:00,2026.06.25 04:00,2026.06.25 12:00,,2026.06.26 16:00,اصلاح>60%,2
32,yes,BULL,2026.06.26 04:00,3998.79,2026.06.26 12:00,4095.90,2026.06.28 20:00,2026.06.29 00:00,,,2026.06.29 16:00,اصلاح>60%,0
33,yes,BEAR,2026.06.30 16:00,4033.88,2026.07.01 04:00,3960.17,2026.07.01 12:00,,,,2026.07.01 12:00,اصلاح>60%,2
34,yes,BEAR,2026.07.22 16:00,4159.41,2026.07.24 04:00,4021.91,2026.07.24 12:00,2026.07.24 16:00,2026.07.24 16:00,2026.07.28 08:00,2026.08.05 08:00,به A رسید,3
35,yes,BEAR,2026.07.27 00:00,4115.97,2026.07.28 12:00,4011.42,2026.07.28 20:00,2026.07.29 00:00,,2026.07.29 00:00,2026.07.29 20:00,به A رسید,1
36,yes,BULL,2026.08.03 16:00,4029.60,2026.08.06 00:00,4303.97,2026.08.06 08:00,2026.08.06 16:00,2026.08.06 16:00,2026.08.07 08:00,,alive,4
