time,open,high,low,close
2017.09.22 00:00,1291.98,1298.14,1291.30,1296.39
2017.09.22 04:00,1296.39,1298.73,1295.90,1296.68
2017.09.22 08:00,1296.68,1297.70,1294.68,1295.42
2017.09.22 12:00,1295.44,1298.51,1293.46,1296.05
2017.09.22 16:00,1295.96,1297.16,1294.11,1296.95
2017.09.22 20:00,1297.03,1297.29,1295.61,1296.93
2017.09.24 20:00,1293.50,1293.96,1289.81,1292.09
2017.09.25 00:00,1292.05,1294.14,1291.44,1293.50
2017.09.25 04:00,1293.50,1294.73,1290.89,1291.86
2017.09.25 08:00,1291.96,1296.49,1291.60,1293.80
2017.09.25 12:00,1293.80,1306.89,1290.78,1304.95
2017.09.25 16:00,1305.05,1311.51,1304.28,1310.35
2017.09.25 20:00,1310.35,1311.90,1308.00,1308.39
2017.09.26 00:00,1308.39,1313.70,1308.05,1313.14
2017.09.26 04:00,1313.15,1313.39,1305.06,1305.19
2017.09.26 08:00,1305.19,1307.29,1300.49,1302.13
2017.09.26 12:00,1302.16,1302.93,1298.56,1300.40
2017.09.26 16:00,1300.40,1301.70,1293.53,1295.76
2017.09.26 20:00,1295.77,1296.12,1292.35,1293.34
2017.09.27 00:00,1293.30,1296.20,1290.73,1294.73
2017.09.27 04:00,1294.74,1295.70,1291.07,1292.74
2017.09.27 08:00,1292.74,1293.26,1286.56,1289.60
2017.09.27 12:00,1289.60,1289.99,1282.57,1285.51
2017.09.27 16:00,1285.49,1289.14,1283.32,1283.86
2017.09.27 20:00,1283.86,1284.18,1281.50,1283.57
2017.09.28 00:00,1283.57,1284.96,1280.78,1281.19
2017.09.28 04:00,1281.18,1282.80,1277.76,1281.47
2017.09.28 08:00,1281.57,1285.76,1280.76,1284.99
2017.09.28 12:00,1284.98,1286.29,1282.04,1284.19
2017.09.28 16:00,1284.17,1288.80,1284.10,1286.22
2017.09.28 20:00,1286.18,1287.74,1286.13,1287.00
2017.09.29 00:00,1286.99,1287.89,1283.90,1284.95
2017.09.29 04:00,1284.94,1289.32,1283.63,1288.23
2017.09.29 08:00,1288.21,1289.93,1286.65,1287.43
2017.09.29 12:00,1287.44,1290.34,1281.74,1284.04
2017.09.29 16:00,1284.04,1284.61,1279.65,1280.18
2017.09.29 20:00,1280.18,1280.81,1276.18,1279.45
2017.10.01 20:00,1278.17,1278.74,1277.35,1277.97
2017.10.02 00:00,1277.96,1277.96,1274.16,1275.06
2017.10.02 04:00,1275.06,1275.68,1271.22,1272.39
2017.10.02 08:00,1272.39,1274.88,1271.98,1272.62
2017.10.02 12:00,1272.63,1277.26,1272.16,1274.96
2017.10.02 16:00,1274.92,1275.87,1271.18,1271.28
2017.10.02 20:00,1271.27,1272.24,1269.69,1271.15
2017.10.03 00:00,1271.14,1273.08,1268.34,1269.64
2017.10.03 04:00,1269.64,1272.43,1268.64,1269.94
2017.10.03 08:00,1269.94,1271.76,1269.61,1270.46
2017.10.03 12:00,1270.46,1274.73,1269.31,1273.76
2017.10.03 16:00,1273.76,1274.54,1271.06,1271.95
2017.10.03 20:00,1271.95,1272.57,1270.64,1272.47
2017.10.04 00:00,1272.46,1276.17,1272.46,1275.37
2017.10.04 04:00,1275.37,1278.53,1275.24,1275.98
2017.10.04 08:00,1275.98,1281.63,1274.96,1281.03
2017.10.04 12:00,1281.03,1282.22,1270.64,1273.53
2017.10.04 16:00,1273.52,1276.30,1271.87,1275.30
2017.10.04 20:00,1275.30,1275.62,1273.70,1274.02
2017.10.05 00:00,1274.03,1275.24,1273.07,1274.49
2017.10.05 04:00,1274.49,1276.25,1273.34,1275.36
2017.10.05 08:00,1275.36,1279.01,1275.30,1276.73
2017.10.05 12:00,1276.72,1278.94,1272.51,1272.83
2017.10.05 16:00,1272.82,1273.78,1267.48,1268.54
2017.10.05 20:00,1268.52,1269.29,1266.64,1269.11
2017.10.06 00:00,1269.11,1269.69,1267.80,1268.36
2017.10.06 04:00,1268.36,1269.20,1267.14,1268.47
2017.10.06 08:00,1268.47,1270.23,1267.94,1268.64
2017.10.06 12:00,1268.63,1275.71,1260.67,1274.48
2017.10.06 16:00,1274.48,1275.22,1272.09,1274.67
2017.10.06 20:00,1274.67,1276.55,1274.67,1276.20
2017.10.08 20:00,1276.61,1277.44,1276.51,1276.65
2017.10.09 00:00,1276.65,1284.97,1275.33,1282.34
2017.10.09 04:00,1282.36,1285.50,1279.68,1279.99
2017.10.09 08:00,1279.98,1284.18,1279.84,1282.95
2017.10.09 12:00,1283.03,1283.30,1279.47,1280.95
2017.10.09 16:00,1280.96,1285.20,1280.33,1284.79
2017.10.09 20:00,1284.83,1284.85,1283.13,1283.22
2017.10.10 00:00,1283.22,1288.20,1282.17,1286.67
2017.10.10 04:00,1286.68,1288.73,1285.65,1287.00
2017.10.10 08:00,1286.98,1292.53,1286.98,1292.15
2017.10.10 12:00,1292.19,1294.23,1288.28,1291.38
2017.10.10 16:00,1291.38,1292.02,1288.13,1288.43
2017.10.10 20:00,1288.39,1289.97,1286.36,1289.66
